link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,BPR_alpha_term,BPR_beta_term,free_flow_time,toll,volume,cost
0,0,546,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
1,1,547,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
2,2,548,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
3,3,549,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
4,4,550,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
5,5,551,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
6,6,552,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
7,7,553,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
8,8,554,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
9,9,555,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
10,10,556,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
11,11,557,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
12,12,558,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
13,13,559,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
14,14,560,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
15,15,561,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
16,16,562,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
17,17,563,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
18,18,564,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
19,19,565,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
20,20,566,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
21,21,567,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
22,22,568,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
23,23,569,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
24,24,570,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
25,25,571,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
26,26,572,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
27,27,573,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
28,28,574,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
29,29,575,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
30,30,576,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
31,31,577,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
32,32,578,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
33,33,579,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
34,34,580,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
35,35,581,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
36,36,582,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
37,37,583,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
38,38,584,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
39,39,585,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
40,40,586,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
